"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"OSUNmiami","","\Co-sponsored\GOOS\OceanSITES\OS-UN_MIAMI","",""
"OSUSP","","\Co-sponsored\GOOS\OceanSITES\OS-USP","",""
"OSUW","","\Co-sponsored\GOOS\OceanSITES\OS-UW","",""
"OSWHOI","","\Co-sponsored\GOOS\OceanSITES\OS-WHOI","",""
"OSWHOI-SIO-OSU","","\Co-sponsored\GOOS\OceanSITES\OS-WHOI/SIO/OSU","",""
"pacIOOS","","\Co-sponsored\GOOS\DBCP\PACIOOS","",""
"petrobras","","\Co-sponsored\GOOS\DBCP\PETROBRAS","",""
"PHOTONS","","\WIGOS\GAW\GAW Other elements\AOD\PHOTONS","",""
"PMELMB","","\Co-sponsored\GOOS\DBCP\PMEL MB","",""
"polarAOD","","\WIGOS\GAW\GAW Other elements\AOD\PolarAOD","",""
"RBCN","","\WIGOS\GOS\GOS Surface networks\RBCN","",""
"RBONpilot","","\WIGOS\GOS\GOS Surface networks\RBON-Pilot","",""
"RBSN","","\WIGOS\GOS\GOS Surface networks\RBSN","",""
"RBSNp","","\WIGOS\GOS\GOS Surface networks\RBSN\RBSN(P)","",""
"RBSNs","","\WIGOS\GOS\GOS Surface networks\RBSN\RBSN(S)","",""
"RBSNsp","","\WIGOS\GOS\GOS Surface networks\RBSN\RBSN(SP)","",""
"RBSNst","","\WIGOS\GOS\GOS Surface networks\RBSN\RBSN(ST)","",""
"RBSNt","","\WIGOS\GOS\GOS Surface networks\RBSN\RBSN(T)","",""
"scripps,"","\Co-sponsored\GOOS\DBCP\SCRIPS","",""
"SHADOZ","","\WIGOS\GAW\GAW Other elements\SHADOZ","",""
"shell","","\Co-sponsored\GOOS\DBCP\SHELL","",""
"shoaTSU","","\Co-sponsored\GOOS\DBCP\SHOA-TSU","",""
"sibRad","","\WIGOS\GAW\GAW Other elements\AOD\SibRad","",""
"SIODB","","\Co-sponsored\GOOS\DBCP\SIO-DB","",""
